=== google-t5/t5-base ===
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Sauerstoff senken, und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Ich weise unter anderem darauf hin, dass          Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich den Raum um: Stühle, Holz,       Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 Ein enormer Wissensfonds                          Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                besteht darin, drei Zeitskalen miteinander in Einklang zu bringen:und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach [mit] Nüssen oder etwas.    Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                verschwinden in meinem Gesicht.                   vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einen einzigen Punkt aufgeführt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Das ist, da stimme ich zu, eine schöne Sache.     Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      , dass der Shuttle droht                          die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Kreta und sind ein Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und Kriminelle bezeichnen die Flut als "flüssiges Gold".Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Die Chinesen betrügen immer, nicht wahr?          Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie alle haben eine Idee in Ihrem Kopf über die Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten im Buchladen.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass etwa 200 Millionen CAPTCHAsetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und das Video später an diesem Tag zu sehen       Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es, weil --                             Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser produktivster Fotograf hat rund 350 Fotos gemacht,den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          , die das Androgen-Insensibilitätssyndrom hat.    und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    verstehen, wie das Gehirn Bewegung steuert?       zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückkehrte --                          denn sie schlug zurück -                          
very simple language, beautifully typeset.        very simple language, beautifully typeset.        wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Wäre es also nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und ich spürte, als ob ich auf                    Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,bohrte ein Loch in der Rückseite des Rohrs, nahm einige unserer Feuerwaffen,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    Es gibt also alle Arten von Bakterien auf der ErdeEs gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        aber während er anfing, seine Arbeit zu tun,      aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und sie zwischen sich selbst und der Person, die sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             sparen 50.000 Dollar bei ihren Steuern --         jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                und ich werde alle diese durchgehen.              auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Darum geht es bei Fortschritten.                  Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,In der Robotik ging es eigentlich darum, mit Dingen zu interagieren,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist kein Kult. (Heiterkeit)                    Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich blicke auf Sie, North Carolina.               Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 still sitzen                                      liegen still da                                   
Again, we think that bacteria invented that,      Auch hier glauben wir, dass Bakterien das erfunden haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie erhalten eine gewisse Synergie von Ideen      und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur --              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       lernen Werkzeuge zur Lösung ihrer familiären KonflikteMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, zu versuchen, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        wie hässlich ein solches Regime war               wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           das nun die gesamte Menschheit charakterisiert.   der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Und das trotz der Tatsache, dass eine Supernova so hell ist,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur diskutiert und konsumiert           Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         Lassen Sie uns also mit den Ländern beginnen      Also schauen wir uns die Länder an,               
\"Hey, you've got to remember to pick up bananas on your way home."Hey, du musst daran denken, auf deinem Heimweg Bananen abzuholen.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so enttäuscht                         Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er hat nicht gesagt, sondern Fragen gestellt.     im Kern des Betriebssystems                       
And that potential, that powerful potential,      Und dieses Potenzial, dieses mächtige Potenzial   Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Gedanken schweben umher.                          die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten würden, müssten wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     Dabei handelt es sich schließlich auch um Design. letztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Nun, wie viel Berechnung macht das Gehirn?        Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, das sie zu fragen veranlasste              etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Daddy's got you, das ist alles Wichtige.          Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Mir fällt es schwer, mir eine Zukunft vorzustellenIch kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Kern unseres Seins, oder?                  im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               in der Annahme dieser besonderen Niederlage       zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich habe beschlossen, während des Tages zu kreuzen,Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    um diese neuen Entwicklungen herum.               mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilitydas ist der erste Schritt zur Übernahme von Verantwortungist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       , die den Planeten ausspült.                      den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       , die Dioscorides erstmals im Jahre 65 n. Chr. beschrieben hat.als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das ist nicht 30 Prozent pro Jahr, das ist -- MS: Ja, 30 Prozent pro Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, wie wir bestätigen können, gibt es etwa zwei bis drei Millionen FestplattenSoweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Vereinigung,                  kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis Sie erkennen, dass Sie sehr genau diese Frau sind,Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            peer pressure used to help patients --            Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?erschreckend detailliert darlegen, wie man besser als Sie bei den Checkern sein kann?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       es gibt ein paar Leute aus Pakistan hier.         es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           zu einem hellen Kontinent."                       in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sagte, dass Palästinenser auf den Straßen tanzen.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,ist, dass, wenn Sie Massenmarkterfolg oder Massenmarktakzeptanz einer Idee wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität der Narkose, die Lungen können gelähmt werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie dem Staat, dass der Schutz der Wildnis Der Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             wenn Sie das Privileg haben werden                dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Das "Internet" hat also im Grunde zwei Internets. Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist extrem windig und auch sehr kalt.   Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen, Fakten oder Daten.       nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es ist nicht vorbei.                   Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Du wirst sehen, wie das Ganze in diesem Film stattfindet.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        unsere Versorgung mit Grippe und mehr zur Verfügung gestellt,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      Hier müssen wir uns bewegen.                      das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst es ist             Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.Sie fügen dem bestehenden System des Terrors nur eine neue Schicht hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           und die Ergebnisse sind:                          Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum gehen sie nicht einfach in einen Laden und kaufen eine Tasche Nüsse?Warum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       dass es vielleicht noch viele weitere Möglichkeiten gibtdass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte gewebt Kohlefaser sprinting Beine       Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und dann 10 Jahre später änderte sich alles.      Und 10 Jahre später, änderte sich alles.          
The processing, of course, begins with the eyes.  Die Verarbeitung beginnt natürlich mit den Augen. Der Prozess beginnt natürlich bei den Augen.      
and then here we are in the deep ocean,           und dann sind wir im tiefen Ozean,                die den menschlichen Geist erhellen können.       
with the digital information                      mit der digitalen Information                     mit den digitalen Informationen interagieren      
sort of loosely attached, so it could spin by itself.sort of loosely attached, so it could spin by itself.locker befestigt war, damit es sich allein drehen konnte.
They don’t. Their mothers don’t say to little baby fish,Sie tun es nicht, und ihre Mütter sagen zu kleinen Babyfischen nicht:Das tun sie nicht. Ihre Mütter sagen nicht zum kleinen Babyfisch,
In 1949 we saw the emergence of the modern China  1949 erlebten wir das Entstehen des modernen Chinas.1949 sahen wir die Entstehung des modernen Chinas 
that memory is still in people's minds.           Das Gedächtnis ist immer noch in den Köpfen der Menschen.ist bis heute im Gedächtnis der Menschen präsent. 
And this is all about darkness                    Und es geht um die Finsternis                     Sie haben diesen Schatten,                        
From China to Brazil, these projects attempt      Von China bis Brasilien versuchen diese Projekte  Von China bis Brasilien versuchen diese Projekte, 
where we decide how we want to treat it.          wo wir entscheiden, wie wir es behandeln wollen.  in dem wir entscheiden, wie wir sie behandeln wollen.
all the way to your deathbed,                     bis zu deinem Todesbett,                          um noch ein paar Spiele zu spielen.               
or for some reason we can't take them down.       oder aus irgendeinem Grund können wir sie nicht absetzen.oder wir können sie aus anderen Gründen nicht zur Rechenschaft ziehen.
George was actually an alcoholic when they married, and Mary knew it.George war tatsächlich ein Alkoholiker, als sie heiratete, und Mary wusste es.als sie sich zum ersten Mal trafen.               
and, I would say, nakedness,                      und, ich würde sagen, Nacktheit,                  und, würde ich sagen, Nacktheit,                  
but enough to do an unbelievable amount of damage.aber genug, um eine unglaubliche Menge Schaden zu fügen.aber genug, um einen unglaublichen Schaden anzurichten.
people who are attracted to the ritualistic side, Menschen, die von der rituellen Seite angezogen sind,Menschen, die sich zur rituellen Seite hingezogen fühlen,
actually have the capability or the interest in going under the watertatsächlich die Fähigkeit oder das Interesse, unter Wasser zu gehenbesitzt die Fähigkeiten oder das Interesse um unterzutauchen
from neurons in the fly's brain while the fly     von Neuronen im Gehirn der Fliege, während die Fliegeim Gehirn der Fliege aufzeichnen –                
are early detection, early intervention.          sind Früherkennung, Frühintervention.             sind Früherkennung, schnelles Gegensteuern.       
and I won't go through them all --                und ich werde sie nicht alle durchgehen --        wir sagen ihr nicht, was passieren wird           
It's because I didn't have a self to get in the way.Das liegt daran, dass ich kein Selbst hatte, das mir im Weg stand.Das war, weil ich kein Selbst hatte, was dazwischen war.
What I would suggest is that if you want to see   Was ich vorschlagen würde, ist, dass, wenn Sie sehen wollen,Also, was ich vorschlagen würde, wenn Sie sehen möchten,
and she sat there with this penguin, the penguin's flapping, and she let's it go.und sie saß da mit diesem Pinguin, der Pinguin flackt, und sie lässt es gehen.und sie saß da mit diesem Pinguin, der Pinguin flatterte und sie ließ ihn los.
that is helping us, not only finally with evaluation, assessing what works.dass uns hilft, nicht nur schließlich mit der Evaluierung, die Bewertung, was funktioniert.Wir gestalteten Chemie und Physik neu.            
It's really difficult. So we're still having to rely onEs ist wirklich schwierig, und daher müssen wir uns immer noch aufDas ist sehr schwierig. Also müssen wir uns da noch
And he became interested in that.                 Und er interessierte sich dafür.                  Asanga wurde neugierig.                           
to move things around and interact with us        um Dinge zu bewegen und mit uns zu interagieren   vom Bildschirm in die physische Welt bringen kann, in der wir leben.
and I won't read them for you.                    und ich werde sie nicht für Sie lesen.            und ich werde sie Ihnen auch nicht vorlesen.      
It's the whole planet,                            Es ist der ganze Planet,                          Es ist der ganze Planet,                          
getting a better version                          eine bessere Version erhalten                     nach einer besseren Version des                   
This is one of the jackets you grew?              Dies ist eine der Jacken, die du gewachsen bist?  Dies ist eine der Jacken aus deinem Anbau?        
Seven is prime because it's 1 x 7,                Seven ist primär, weil es 1 x 7 ist.              7 ist prim, weil 1 x 7 = 7,                       
And so this green dot up here is a driver assistance system.Und so ist dieser grüne Punkt hier ein Fahrerassistenzsystem.Aber sehen wir es einmal anders.                  
And now who in this room doesn't know a 14 year-oldUnd wer in diesem Raum kennt nicht einen 14-jährigen?Und wer hier in diesem Raum kennt nicht eine 14-jährige,
There you go. That's connection.                  Das ist die Verbindung.                           Da haben Sie's. Das ist Verbundenheit.            
that they would not tell their preacher or rabbi, dass sie ihrem Prediger oder Rabbin nicht sagen würden,die sie nicht einmal ihrem Priester oder Rabbi erzählen würde,
and yet, out of people’s desire for a global ethicund dennoch aus dem Wunsch der Menschen nach einer globalen Ethikdoch kann dies durch den Wunsch der Menschen nach einer globalen Ethik
We can begin to sculpt the form.                  Wir können damit beginnen, die Form zu sculptieren.Wir können anfangen, das Objekt auszuformen.      
plus the influence of Joe and others. We started One Laptop per Child.Wir begannen mit einem Laptop pro Kind.           plus der Einfluss von Joe und anderen. Wir starteten das Projekt \"Ein Laptop pro Kind“.
He started showing the symptoms about 12 years ago,Er begann die Symptome vor etwa 12 Jahren zu zeigen,Vor ungefähr zwölf Jahren zeigten sich die ersten Symptome,
Now it's not about the leader anymore;            Jetzt geht es nicht mehr um den Führer;           es geht um sie, Plural.                           
They depend on us for their survival.             Sie sind für ihr Überleben von uns abhängig.      Wir haben hier eine Menge von glücklichen Zusammentreffen.
I didn't have the courage to tell him in that moment that,Ich hatte nicht den Mut, ihm in diesem Moment zu sagen,Ich hatte in diesem Moment nicht den Mut, ihm zu sagen,
and the 2,000 or so nuclear bombs                 und die etwa 2.000 Atombomben                     und den rund 2000 Atombomben                      
It takes lots of experience to learn how to care for people.Es erfordert viel Erfahrung, um zu lernen, wie man für Menschen sorgt.Es bedarf viel Erfahrung zu lernen wie man für Menschen sorgt.
I'm sorry to be the bearer of bad news, but somebody has to be.Es tut mir leid, schlechte Nachrichten zu tragen, aber jemand muss es sein.Es tut mir leid, dass ich diese schlechte Nachricht überbringen muss, aber irgendwer muss es ja tun.
And most of the imagery is --                     Und die meisten Bilder sind --                    Der Großteil der Bildsprache ist —                
BLEU score: 21.641687288436398

=== Helsinki-NLP/opus-mt-en-de ===
source                                            translation                                       reference                                         
to the atom that it hits.                         auf das Atom, das es trifft.                      vom Atom, auf welches er trifft.                  
People are more likely to support the use         Die Menschen sind wahrscheinlicher, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Das ist, warum in Verhandlungen, oft, wenn die Dinge hart werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude versagten.                      warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            virtuell so und zeigt Menschen                    wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        und ich sehe mir professionell YouTube-Videos an. Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir haben all die Jahre gelebt,                   lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F -- zu vertraut.                   Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 die etwa 12.000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Latrine.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Selbst inmitten schrecklicher Zerstörung und Tod und Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu all den hellen und blendenden Dingen,          all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor einiger Zeit so aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt nach unten aus der Pilzwolke, die nach oben geht.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht von Montag bis Freitag.  Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Formen des Lebens kombiniert.   aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittierenden Absorptionskühlschranks.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           "Mond ist eins mit Gott.                          \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Nehmen Sie die Brille ab!                         Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur beim Metropolitan in New York - es ist ein sehr düsterer Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie benutzen die gleichen Flügel, um umzudrehenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  total versucht zu erfassen, was Kino für mich ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       ein wertloses Artefakt zu sein.                   als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie wollten niemanden lassen                  und sie würden sie sich von niemandem             
